"";"alpha";"media"
"1";1,1;5,72955764682543
"2";1,15;4,51545991634332
"3";1,2;3,37424499600515
"4";1,25;2,81335864687465
"5";1,3;2,49063209420004
"6";1,35;2,20994539051211
"7";1,4;2,00229718089641
"8";1,45;1,83276572567098
"9";1,5;1,70383712264858
"10";1,55;1,59509330799416
"11";1,6;1,50758769318775
"12";1,65;1,43402075402997
"13";1,7;1,37099415402533
"14";1,75;1,31592333277396
"15";1,8;1,26822973579463
"16";1,85;1,22716813228204
"17";1,9;1,19017779583741
"18";1,95;1,15756089482422
"19";2;1,12839850450312
